guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
794,1,Wall,1,ARC,Wall_794,,,aggregate,,,"[223, 223, 223, 223, 223, 223, 223, 223, 223, 223]","[544, 545, 546, 547, 548, 539, 540, 541, 542, 543]",[8],,,"['3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '5', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '4', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '3', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '2', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '1', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '0', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '9', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '8', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '7', '3P6tvjgV9AA81fRmsqfbLY', '2Vw5Ga4Dz31wA6t7ociBOo', '6']",
795,1,Wall,1,ARC,Wall_795,,,aggregate,,,"[243, 243, 243, 243, 243, 243, 243, 243, 243]","[512, 513, 514, 515, 507, 508, 509, 510, 511]",[8],,,"['1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '5', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '6', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '7', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '8', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '0', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '1', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '2', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '3', '1XD1GHfzD6cunMzxtqLi4o', '2Vw5Ga4Dz31wA6t7ociBOo', '4']",
796,1,Wall,1,ARC,Wall_796,,,aggregate,,,"[96, 96]","[632, 633]",[322],,,"['2VuhFQabH3JOql_RiqfUN3', '0x8tDwgKz4rBhuBSTQ03Vf', '0', '2VuhFQabH3JOql_RiqfUN3', '0x8tDwgKz4rBhuBSTQ03Vf', '1']",
797,1,Wall,1,ARC,Wall_797,,,aggregate,,,"[113, 113, 113, 113, 75]","[746, 747, 748, 749, 787]",[3],,,"['26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '0', '26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '1', '26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '2', '26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '3', '26kn7MqLL9oOOTivXpg2uw', '3ieRYLDdzA7A223TPufEIC', '0']",
798,1,Wall,1,ARC,Wall_798,,,aggregate,,,"[115, 115]","[366, 367]",[317],,,"['26kn7MqLL9oOOTivXpg2LS', '0x8tDwgKz4rBhuBSTQ03VX', '1', '26kn7MqLL9oOOTivXpg2LS', '0x8tDwgKz4rBhuBSTQ03VX', '0']",
799,1,Wall,1,ARC,Wall_799,,,aggregate,,,"[129, 129]","[522, 523]",[328],,,"['26kn7MqLL9oOOTivXpgDDc', '0x8tDwgKz4rBhuBSTQ03Vm', '0', '26kn7MqLL9oOOTivXpgDDc', '0x8tDwgKz4rBhuBSTQ03Vm', '1']",
800,1,Wall,1,ARC,Wall_800,,,aggregate,,,"[228, 228, 60]","[346, 347, 423]",[333],,,"['2phb4LYfH6ERu7VkkEK4h0', '0x8tDwgKz4rBhuBSTQ03Vs', '0', '2phb4LYfH6ERu7VkkEK4h0', '0x8tDwgKz4rBhuBSTQ03Vs', '1', '0fo82U50nDWhMj5k9OCNaz', '0x8tDwgKz4rBhuBSTQ03Vs', '0']",
801,1,Wall,1,ARC,Wall_801,,,aggregate,,,"[243, 97, 111, 243]","[760, 682, 356, 759]",[324],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03Vh', '0', '2VuhFQabH3JOql_RiqfUK1', '0x8tDwgKz4rBhuBSTQ03Vh', '0', '2VuhFQabH3JOql_RiqfUMx', '0x8tDwgKz4rBhuBSTQ03Vh', '0', '1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03Vh', '1']",
802,1,Wall,1,ARC,Wall_802,,,aggregate,,,"[245, 245, 245, 245, 245, 245, 245, 245, 245]","[481, 482, 483, 484, 485, 486, 487, 488, 489]",[321],,,"['26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '8', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '7', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '6', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '5', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '4', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '3', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '2', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '1', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vd', '0']",
803,1,Wall,1,ARC,Wall_803,,,aggregate,,,"[243, 243]","[594, 595]",[316],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03VV', '1', '1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03VV', '0']",
804,1,Wall,1,ARC,Wall_804,,,aggregate,,,"[150, 150, 150, 150, 150]","[617, 618, 619, 620, 621]",[324],,,"['2VuhFQabH3JOql_RiqfURw', '0x8tDwgKz4rBhuBSTQ03Vh', '0', '2VuhFQabH3JOql_RiqfURw', '0x8tDwgKz4rBhuBSTQ03Vh', '1', '2VuhFQabH3JOql_RiqfURw', '0x8tDwgKz4rBhuBSTQ03Vh', '2', '2VuhFQabH3JOql_RiqfURw', '0x8tDwgKz4rBhuBSTQ03Vh', '3', '2VuhFQabH3JOql_RiqfURw', '0x8tDwgKz4rBhuBSTQ03Vh', '4']",
805,1,Wall,1,ARC,Wall_805,,,aggregate,,,"[113, 113]","[552, 553]",[310],,,"['26kn7MqLL9oOOTivXpgCW4', '0x8tDwgKz4rBhuBSTQ03VO', '0', '26kn7MqLL9oOOTivXpgCW4', '0x8tDwgKz4rBhuBSTQ03VO', '1']",
806,1,Wall,1,ARC,Wall_806,,,aggregate,,,"[113, 113, 102, 63]","[464, 465, 427, 599]",[331],,,"['26kn7MqLL9oOOTivXpgCW4', '0x8tDwgKz4rBhuBSTQ03Vp', '1', '26kn7MqLL9oOOTivXpgCW4', '0x8tDwgKz4rBhuBSTQ03Vp', '0', '26kn7MqLL9oOOTivXpgCVG', '0x8tDwgKz4rBhuBSTQ03Vp', '0', '26kn7MqLL9oOOTivXpgC8t', '0x8tDwgKz4rBhuBSTQ03Vp', '0']",
